                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     36,                0.02769,               0.032833,               0.012095,                      0,                0.97323,                0.94243,                0.98493,                 0.7835,                0.94525,                0.91123,                0.93662,                0.53734,               0.020339,                0.01646,              0.0033185,                      0,               0.008425,               0.008425,               0.008425
                     37,               0.027815,               0.031224,                0.01197,                      0,                0.96449,                0.95995,                0.98684,                0.80643,                0.93464,                0.92316,                0.94542,                0.55998,               0.019439,               0.015814,              0.0032001,                      0,                0.00838,                0.00838,                0.00838
                     38,               0.027714,               0.031207,               0.012387,                      0,                0.94997,                0.92366,                0.97627,                0.77168,                0.93194,                0.88407,                0.93253,                 0.5283,               0.020542,               0.016679,              0.0035148,                      0,               0.008335,               0.008335,               0.008335
                     39,                 0.0272,               0.031321,               0.011602,                      0,                0.95457,                0.94675,                0.98118,                0.78922,                0.93508,                0.89538,                0.93471,                0.53733,               0.020301,               0.016162,              0.0034281,                      0,                0.00829,                0.00829,                0.00829
                     40,                 0.0277,               0.031496,               0.011977,                      0,                 0.9579,                0.95476,                 0.9827,                0.80591,                0.93289,                0.91714,                0.93982,                0.53916,               0.019716,               0.016861,              0.0032792,                      0,               0.008245,               0.008245,               0.008245
                     41,                0.02769,               0.031939,               0.011581,                      0,                0.96417,                0.95287,                0.98458,                0.79486,                0.93895,                0.91317,                 0.9384,                0.54437,               0.019706,               0.016056,               0.003247,                      0,                 0.0082,                 0.0082,                 0.0082
                     42,               0.027514,               0.030788,               0.011698,                      0,                0.96624,                0.95287,                0.98558,                0.78727,                0.95234,                0.92083,                0.94799,                0.54636,               0.019979,               0.016343,              0.0033167,                      0,               0.008155,               0.008155,               0.008155
                     43,               0.027409,               0.030891,               0.011983,                      0,                0.95757,                0.94664,                0.98036,                0.79388,                0.93296,                0.91161,                0.93747,                0.54235,               0.020043,               0.016485,              0.0034332,                      0,                0.00811,                0.00811,                0.00811
                     44,               0.026622,               0.031865,               0.011895,                      0,                0.96093,                0.93884,                0.98089,                0.78833,                 0.9334,                0.91137,                 0.9404,                0.53354,               0.020474,               0.016194,              0.0034154,                      0,               0.008065,               0.008065,               0.008065
                     45,               0.027226,               0.029989,               0.011621,                      0,                0.96567,                 0.9543,                0.98334,                0.80292,                0.94698,                0.92594,                0.94666,                0.57445,               0.019623,               0.015481,              0.0032547,                      0,                0.00802,                0.00802,                0.00802
                     46,               0.027295,               0.031527,               0.011869,                      0,                0.95541,                0.95523,                0.98283,                0.79702,                0.93257,                0.92551,                0.94946,                0.55653,               0.019514,               0.015868,              0.0032832,                      0,               0.007975,               0.007975,               0.007975
                     47,                 0.0265,                0.03087,                0.01183,                      0,                0.97261,                0.94533,                0.98268,                0.79923,                0.94671,                0.91248,                0.94662,                0.56295,               0.019713,               0.015284,              0.0031902,                      0,                0.00793,                0.00793,                0.00793
                     48,               0.026332,               0.030389,               0.011446,                      0,                0.97131,                0.95743,                 0.9863,                0.81394,                0.95389,                0.92366,                 0.9508,                0.58119,               0.018741,               0.014967,              0.0031581,                      0,               0.007885,               0.007885,               0.007885
                     49,               0.026588,               0.031077,               0.011452,                      0,                0.96375,                0.95193,                  0.985,                0.80812,                0.94282,                 0.9247,                0.95081,                0.54806,               0.018991,               0.015426,              0.0031812,                      0,                0.00784,                0.00784,                0.00784
                     50,                0.02667,               0.030796,               0.011657,                      0,                0.96498,                0.96083,                0.98808,                0.80362,                0.94412,                0.93402,                0.95342,                0.58173,               0.018637,               0.015171,               0.003272,                      0,               0.007795,               0.007795,               0.007795
                     51,               0.026495,               0.030065,               0.011681,                      0,                0.96996,                0.95853,                0.98694,                0.82498,                0.94958,                0.93827,                0.96097,                0.58849,               0.018575,               0.014803,              0.0031186,                      0,                0.00775,                0.00775,                0.00775
